iter	Passed	Remaining
0	147	147603
1	149	74442
2	150	50095
3	152	37981
4	154	30716
5	156	25894
6	157	22369
7	159	19746
8	161	17733
9	162	16071
10	163	14723
11	165	13592
12	166	12635
13	167	11820
14	169	11103
15	170	10476
16	171	9930
17	173	9443
18	174	9008
19	176	8650
20	178	8315
21	179	7991
22	181	7698
23	182	7427
24	183	7173
25	185	6936
26	186	6724
27	187	6523
28	189	6357
29	191	6201
30	193	6052
31	195	5908
32	196	5762
33	197	5625
34	199	5495
35	200	5372
36	201	5253
37	203	5146
38	204	5041
39	205	4939
40	207	4847
41	208	4756
42	209	4669
43	211	4585
44	212	4504
45	213	4429
46	214	4358
47	216	4288
48	217	4227
49	219	4165
50	220	4106
51	221	4047
52	223	3988
53	224	3932
54	225	3878
55	226	3826
56	228	3775
57	229	3727
58	230	3681
59	232	3636
60	233	3592
61	234	3552
62	236	3515
63	237	3480
64	239	3442
65	240	3407
66	242	3372
67	243	3338
68	244	3304
69	246	3268
70	247	3242
71	249	3215
72	251	3188
73	252	3164
74	254	3138
75	256	3116
76	258	3093
77	259	3071
78	261	3051
79	263	3029
80	265	3008
81	266	2984
82	267	2959
83	269	2935
84	270	2911
85	271	2887
86	272	2864
87	274	2842
88	275	2818
89	276	2796
90	277	2775
91	279	2754
92	280	2735
93	281	2715
94	283	2696
95	284	2678
96	285	2656
97	286	2634
98	287	2617
99	289	2602
100	290	2589
101	292	2575
102	293	2559
103	295	2543
104	296	2524
105	297	2509
106	298	2494
107	300	2479
108	301	2464
109	302	2449
110	304	2435
111	306	2428
112	307	2417
113	309	2406
114	310	2392
115	312	2378
116	313	2364
117	314	2351
118	315	2338
119	317	2325
120	318	2312
121	320	2306
122	321	2294
123	322	2281
124	324	2269
125	325	2258
126	326	2246
127	328	2235
128	329	2224
129	330	2213
130	331	2201
131	333	2189
132	334	2180
133	335	2170
134	337	2159
135	338	2149
136	339	2139
137	340	2128
138	342	2119
139	343	2110
140	344	2100
141	346	2091
142	347	2081
143	348	2074
144	350	2065
145	351	2054
146	352	2045
147	353	2036
148	355	2027
149	356	2018
150	357	2010
151	358	2001
152	360	1992
153	361	1985
154	362	1978
155	364	1970
156	365	1962
157	366	1954
158	368	1947
159	369	1940
160	370	1932
