iter	Passed	Remaining
0	1	1348
1	2	1415
2	5	1751
3	6	1670
4	8	1594
5	9	1516
6	10	1472
7	11	1435
8	12	1402
9	13	1363
10	14	1322
11	15	1290
12	16	1266
13	18	1282
14	20	1319
15	21	1309
16	22	1301
17	23	1292
18	24	1277
19	25	1261
20	26	1258
21	28	1255
22	29	1242
23	30	1232
24	31	1220
25	32	1208
26	35	1262
27	36	1256
28	37	1251
29	38	1242
30	39	1236
31	40	1233
32	41	1226
33	42	1218
34	44	1216
35	45	1213
36	46	1209
37	49	1263
38	50	1255
39	52	1250
40	53	1246
41	54	1242
42	55	1238
43	56	1233
44	57	1227
45	58	1219
46	59	1215
47	61	1213
48	63	1238
49	65	1238
50	66	1235
51	67	1232
52	68	1230
53	70	1234
54	71	1232
55	72	1229
56	74	1227
57	75	1231
58	78	1250
59	79	1248
60	80	1242
61	81	1240
62	83	1241
63	84	1239
64	85	1234
65	87	1232
66	88	1229
67	89	1228
68	91	1231
69	92	1234
70	94	1230
71	95	1226
72	96	1223
73	97	1221
74	98	1217
75	99	1212
76	100	1208
77	102	1208
78	103	1206
79	104	1204
80	107	1219
81	108	1217
82	109	1212
83	110	1208
84	112	1207
85	113	1203
86	114	1199
87	115	1196
88	116	1190
89	117	1187
90	118	1185
91	119	1183
92	122	1196
93	123	1192
94	124	1188
95	126	1186
96	126	1179
97	127	1172
98	128	1169
99	129	1167
100	130	1165
101	132	1163
102	133	1161
103	134	1159
104	136	1164
105	137	1162
106	139	1161
107	140	1163
108	142	1161
109	143	1158
110	144	1156
111	145	1155
112	146	1151
113	147	1148
114	148	1144
115	151	1156
116	153	1156
117	154	1153
118	156	1156
119	157	1155
120	159	1161
121	161	1159
122	162	1157
123	163	1155
124	166	1166
125	167	1164
126	169	1161
127	170	1159
128	171	1157
129	172	1155
130	174	1154
131	175	1156
132	177	1154
133	178	1151
134	180	1158
135	182	1156
136	183	1155
137	184	1152
138	185	1149
139	186	1147
140	188	1145
141	189	1142
142	190	1140
143	191	1137
144	192	1135
145	193	1131
146	196	1137
147	197	1135
148	198	1134
149	199	1132
150	201	1130
151	202	1128
152	203	1126
153	204	1124
154	205	1122
155	207	1120
156	208	1117
157	210	1124
158	212	1122
159	213	1119
160	214	1117
161	216	1118
162	256	1319
163	260	1328
164	262	1327
165	263	1324
166	265	1322
167	266	1319
168	267	1317
169	269	1314
170	270	1312
171	273	1315
172	276	1322
173	278	1320
174	279	1317
175	281	1315
176	282	1312
177	283	1310
178	285	1307
179	286	1304
180	306	1386
181	307	1383
182	309	1381
183	311	1381
184	321	1417
185	323	1414
186	324	1411
187	326	1408
188	327	1405
189	328	1402
190	330	1398
191	331	1393
192	333	1395
193	335	1392
194	336	1388
195	337	1382
196	338	1378
197	339	1374
198	340	1371
199	341	1367
200	343	1363
201	344	1359
202	345	1355
203	346	1351
204	350	1357
205	351	1354
206	353	1352
207	354	1351
208	356	1348
209	357	1345
210	358	1341
211	359	1338
212	361	1334
213	363	1334
214	364	1330
215	365	1327
216	366	1323
217	367	1319
218	368	1314
219	369	1310
220	371	1307
221	372	1304
222	373	1300
223	374	1297
224	375	1294
225	377	1294
226	379	1291
227	380	1287
228	381	1284
229	382	1281
230	383	1277
231	384	1274
232	386	1271
233	387	1268
234	388	1264
235	389	1262
236	390	1258
237	392	1256
238	393	1252
239	394	1249
240	395	1246
241	397	1243
242	398	1240
243	399	1237
244	400	1234
245	401	1231
246	402	1228
247	404	1225
248	406	1226
249	407	1222
250	408	1218
251	409	1215
252	410	1212
253	411	1209
254	412	1206
255	413	1201
256	414	1198
257	415	1195
258	416	1192
259	417	1189
260	419	1187
261	420	1185
262	422	1183
263	423	1180
264	424	1177
265	425	1174
266	426	1171
267	427	1168
268	428	1165
269	430	1162
270	431	1159
271	433	1160
272	435	1158
273	436	1155
274	437	1152
275	438	1149
276	439	1146
277	440	1144
278	441	1141
279	443	1139
280	444	1136
281	445	1134
282	446	1131
283	449	1132
284	450	1130
285	451	1127
286	452	1124
287	453	1121
288	454	1119
289	456	1116
290	457	1113
291	458	1110
292	459	1108
293	460	1105
294	461	1103
295	464	1104
296	465	1101
297	466	1099
298	467	1095
299	468	1093
300	469	1090
301	470	1087
302	471	1085
303	473	1083
304	474	1080
305	475	1077
306	476	1075
307	478	1076
308	480	1073
309	481	1071
310	482	1068
311	483	1066
312	484	1064
313	486	1061
314	487	1059
315	488	1056
316	489	1054
317	490	1051
318	492	1051
319	493	1049
320	494	1046
321	496	1044
322	497	1042
323	498	1040
324	499	1037
325	500	1035
326	501	1032
327	503	1030
328	504	1028
329	506	1029
330	508	1027
331	509	1025
332	511	1023
333	512	1022
334	513	1019
335	514	1017
336	516	1015
337	517	1013
338	518	1010
339	519	1008
340	522	1009
341	523	1006
342	524	1004
343	525	1002
344	526	1000
345	528	998
346	529	996
347	530	994
348	531	992
349	532	989
350	533	987
351	536	987
352	537	985
353	538	983
354	539	980
355	540	978
356	541	976
357	543	973
358	544	971
359	545	969
360	546	967
361	547	964
362	548	962
363	549	960
364	552	960
365	553	958
366	554	956
367	555	953
368	556	951
369	557	949
370	558	946
371	559	944
372	560	942
373	561	939
374	562	937
375	563	935
376	566	935
377	567	933
378	568	931
379	569	929
380	570	927
381	571	925
382	572	923
383	574	920
384	575	918
385	576	916
386	577	914
387	578	912
388	579	909
389	580	908
390	581	906
391	582	903
392	583	901
393	584	899
394	585	897
395	586	895
396	587	892
397	588	890
398	590	889
399	592	888
400	594	888
401	595	886
402	596	884
403	598	882
404	599	880
405	600	878
406	601	875
407	602	873
408	603	871
409	604	869
410	605	867
411	606	864
412	607	862
413	609	862
414	611	861
415	612	859
416	613	857
417	613	854
418	614	852
419	616	851
420	617	849
421	618	846
422	619	845
423	620	843
424	621	841
425	624	841
426	625	839
427	626	837
428	627	835
429	628	833
430	629	831
431	630	829
432	632	827
433	633	825
434	634	823
435	635	821
436	636	819
437	637	817
438	639	817
439	641	815
440	645	818
441	646	816
442	647	814
443	648	812
444	652	814
445	654	812
446	655	811
447	656	809
448	657	806
449	658	804
450	659	802
451	660	800
452	661	798
453	662	796
454	664	795
455	669	798
456	670	796
457	671	794
458	672	792
459	673	791
460	675	789
461	676	787
462	677	785
463	678	784
464	681	784
465	683	782
466	683	782
467	685	780
468	686	779
469	688	777
470	689	776
471	690	774
472	696	778
473	713	793
474	715	792
475	716	790
476	718	789
477	719	787
478	754	822
479	756	820
480	757	818
481	758	816
482	761	816
483	762	815
484	764	813
485	765	811
486	766	809
487	767	807
488	768	805
489	770	803
490	771	801
491	772	799
492	773	797
493	774	795
494	775	793
495	776	790
496	777	788
497	778	786
498	779	784
499	780	782
500	781	780
501	784	779
502	786	779
503	788	777
504	823	808
505	826	808
506	827	806
507	828	804
508	830	802
509	831	800
510	836	802
511	837	800
512	839	798
513	842	797
514	843	795
515	844	794
516	876	820
517	877	818
518	878	815
519	879	813
520	882	813
521	917	841
522	917	838
523	918	836
524	919	833
525	920	831
526	921	828
527	923	826
528	924	824
529	925	822
530	926	820
531	931	820
532	932	818
533	933	816
534	959	835
535	960	832
536	963	832
537	964	829
538	965	827
539	966	824
540	979	832
541	980	830
542	981	827
543	982	825
544	985	823
545	986	821
546	1004	833
547	1005	830
548	1006	828
549	1007	825
550	1008	823
551	1011	822
552	1012	819
553	1013	817
554	1014	815
555	1015	812
556	1016	809
557	1017	807
558	1018	805
559	1019	802
560	1021	800
561	1022	798
562	1023	795
563	1026	794
564	1027	792
565	1029	790
566	1030	788
567	1031	785
568	1032	783
569	1033	781
570	1034	778
571	1035	776
572	1037	774
573	1038	771
574	1041	770
575	1042	768
576	1044	767
577	1045	765
578	1047	762
579	1048	760
580	1049	758
581	1050	755
582	1052	753
583	1054	752
584	1055	750
585	1056	747
586	1057	745
587	1059	743
588	1060	741
589	1061	738
590	1062	736
591	1063	734
592	1064	731
593	1065	729
594	1066	727
595	1070	726
596	1072	725
597	1074	723
598	1076	721
599	1078	720
600	1080	718
601	1081	716
602	1082	713
603	1086	713
604	1088	711
605	1089	709
606	1090	707
607	1091	705
608	1092	702
609	1094	700
610	1095	698
611	1096	696
612	1100	695
613	1101	693
614	1103	691
615	1104	689
616	1105	687
617	1106	685
618	1107	683
619	1109	681
620	1110	678
621	1112	676
622	1115	675
623	1116	673
624	1117	671
625	1119	669
626	1120	667
627	1121	665
628	1123	663
629	1124	661
630	1125	659
631	1127	657
632	1130	656
633	1131	654
634	1133	652
635	1134	650
636	1136	648
637	1137	646
638	1139	644
639	1143	644
640	1144	642
641	1145	640
642	1147	638
643	1148	636
644	1150	634
645	1151	632
646	1153	630
647	1154	628
648	1155	626
649	1158	625
650	1160	623
651	1162	621
652	1163	619
653	1164	617
654	1165	615
655	1167	613
656	1168	611
657	1170	609
658	1173	608
659	1174	606
660	1176	604
661	1177	602
662	1179	600
663	1180	598
664	1182	596
665	1183	594
666	1184	592
667	1186	590
668	1189	589
669	1190	587
670	1192	585
671	1193	583
672	1194	581
673	1196	579
674	1199	578
675	1200	576
676	1203	575
677	1205	573
678	1206	571
679	1207	569
680	1209	567
681	1210	565
682	1212	563
683	1213	561
684	1215	559
685	1218	558
686	1220	556
687	1221	554
688	1222	552
689	1224	550
690	1226	549
691	1228	547
692	1230	545
693	1231	543
694	1232	541
695	1234	539
696	1235	537
697	1236	535
698	1238	533
699	1239	531
700	1240	530
701	1242	528
702	1243	526
703	1246	524
704	1247	522
705	1249	520
706	1250	519
707	1252	517
708	1253	515
709	1255	513
710	1256	511
711	1258	509
712	1259	507
713	1262	506
714	1264	504
715	1265	502
716	1267	500
717	1268	499
718	1270	497
719	1271	495
720	1273	493
721	1274	491
722	1277	490
723	1278	488
724	1280	486
725	1281	484
726	1311	493
727	1312	491
728	1313	488
729	1314	486
730	1315	484
731	1316	482
732	1318	480
733	1319	478
734	1320	476
735	1322	474
736	1324	473
737	1352	480
738	1366	483
739	1367	481
740	1368	479
741	1369	476
742	1370	474
743	1374	473
744	1375	471
745	1376	469
746	1377	467
747	1378	464
748	1379	462
749	1380	460
750	1381	458
751	1382	456
752	1383	454
753	1384	452
754	1385	450
755	1386	448
756	1389	446
757	1390	444
758	1392	442
759	1393	440
760	1394	438
761	1400	438
762	1401	436
763	1403	434
764	1405	432
765	1406	430
766	1407	428
767	1408	426
768	1409	424
769	1410	421
770	1411	419
771	1412	417
772	1413	415
773	1415	413
774	1416	411
775	1417	409
776	1420	408
777	1421	406
778	1422	404
779	1423	402
780	1424	400
781	1425	397
782	1429	396
783	1430	394
784	1431	392
785	1432	390
786	1441	390
787	1443	388
788	1444	386
789	1445	384
790	1446	382
791	1447	380
792	1473	385
793	1474	383
794	1475	381
795	1476	378
796	1477	376
797	1480	375
798	1481	373
799	1486	372
800	1487	370
801	1488	368
802	1492	366
803	1493	364
804	1494	362
805	1496	360
806	1497	358
807	1498	356
808	1499	354
809	1500	352
810	1502	350
811	1506	349
812	1507	347
813	1509	345
814	1510	343
815	1511	341
816	1512	339
817	1514	337
818	1515	335
819	1517	333
820	1520	331
821	1521	329
822	1522	327
823	1523	325
824	1524	323
825	1525	321
826	1526	319
827	1528	317
828	1529	315
829	1530	313
830	1531	311
831	1535	310
832	1536	308
833	1538	306
834	1539	304
835	1540	302
836	1542	300
837	1543	298
838	1545	296
839	1546	294
840	1550	293
841	1551	291
842	1553	289
843	1554	287
844	1556	285
845	1557	283
846	1558	281
847	1560	279
848	1561	278
849	1564	276
850	1566	274
851	1567	272
852	1568	270
853	1570	268
854	1571	266
855	1573	264
856	1574	263
857	1575	261
858	1579	259
859	1580	257
860	1582	255
861	1583	253
862	1584	251
863	1586	249
864	1587	248
865	1589	246
866	1638	251
867	1639	249
868	1641	247
869	1680	251
870	1683	249
871	1741	255
872	1743	253
873	1744	251
874	1746	249
875	1747	247
876	1759	247
877	1761	245
878	1763	243
879	1764	240
880	1765	238
881	1768	236
882	1769	234
883	1771	232
884	1772	230
885	1773	228
886	1774	226
887	1775	224
888	1776	222
889	1777	219
890	1779	217
891	1780	215
892	1781	213
893	1784	211
894	1785	209
895	1786	207
896	1787	205
897	1788	203
898	1789	201
899	1791	199
900	1792	197
901	1793	195
902	1794	193
903	1795	190
904	1798	188
905	1799	186
906	1800	184
907	1802	182
908	1806	181
909	1807	178
910	1808	176
911	1809	174
912	1813	172
913	1814	170
914	1815	168
915	1819	167
916	1821	165
917	1822	162
918	1824	160
919	1825	158
920	1828	157
921	1830	155
922	1831	152
923	1833	150
924	1834	148
925	1835	146
926	1837	144
927	1838	142
928	1839	140
929	1845	139
930	1846	137
931	1848	135
932	1849	132
933	1851	130
934	1852	128
935	1853	126
936	1855	124
937	1856	122
938	1859	120
939	1860	118
940	1861	116
941	1863	114
942	1864	112
943	1866	110
944	1867	108
945	1874	107
946	1876	105
947	1877	103
948	1879	101
949	1880	99
950	1882	97
951	1883	95
952	1885	93
953	1886	91
954	1889	89
955	1891	87
956	1892	85
957	1893	83
958	1894	81
959	1895	79
960	1897	77
961	1898	75
962	1899	73
963	1900	71
964	1901	69
965	1903	67
966	1905	65
967	1906	63
968	1907	61
969	1908	59
970	1909	57
971	1910	55
972	1911	53
973	1913	51
974	1914	49
975	1915	47
976	1917	45
977	1918	43
978	1919	41
979	1920	39
980	1922	37
981	1923	35
982	1924	33
983	1926	31
984	1942	29
985	1943	27
986	1944	25
987	1947	23
988	1948	21
989	1949	19
990	1951	17
991	1952	15
992	1953	13
993	1954	11
994	1955	9
995	1956	7
996	1957	5
997	1958	3
998	1959	1
999	1962	0
